2021/06/03 23:14:10 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622733250215051400}
2021/06/03 23:16:22 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622733382587209700}
2021/06/03 23:19:42 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622733582625386100}
2021/06/03 23:19:44 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622733584125984900}
2021/06/03 23:29:11 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: PluginAboutName为必填字段","time":1622734151637080600}
2021/06/03 23:29:14 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"app.BindAndValid errs: PluginAboutName为必填字段","time":1622734154199931200}
2021/06/03 23:30:01 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 模块已存在","time":1622734201351684100}
2021/06/03 23:30:27 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622734227789856300}
2021/06/03 23:31:48 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622734308456843200}
2021/06/04 00:25:53 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622737553522008000}
2021/06/04 00:27:51 {"callers":["C:/Users/admin/Documents/Tencent Files/1808321138/FileRecv/src/bugu/main.go: 22 main.init.0"],"level":"error","message":"svc.CreateModule err: 不存在该插件","time":1622737671249674500}
